LOCATION,TIME,BEEF,PIG,POULTRY,SHEEP,BEEF_co2,PIG_co2,POULTRY_co2,SHEEP_co2,total_meat_kt,total_co2_Mt
UKR,2024,319.79772684482,745.872020029737,1189.47660228036,14.6422124737808,31.813477866522692,9.181684566566062,11.740134064507155,0.5815886794585733,2269.788561628698,53.31688517705448
UKR,2025,320.092586153583,752.799598591887,1203.95512401897,14.7184758520515,31.842810470558437,9.26696305866613,11.883037074067234,0.5846178608434855,2291.565784616492,53.57742846413529
UKR,2026,320.398136078777,759.333160419886,1218.18778268433,14.7915531825066,31.873206577116736,9.347391204768797,12.023513415094335,0.5875204924091622,2312.7106323654994,53.83163168938903
UKR,2027,320.47336832243,765.63536838481,1232.08403106244,14.8622461413592,31.88069068071534,9.424971384817013,12.160669386586283,0.5903284167347874,2333.0550139110396,54.05665986885342
UKR,2028,320.323923416065,771.82700575027,1245.65660776323,14.929410616723,31.865823901430147,9.501190440785823,12.29463071862308,0.5929961896962376,2352.7369475462883,54.254641250535286
USA,1990,11047.4248131025,7271.3058125491,10047.9902298183,180.365433361759,1098.9978204074366,89.50977455247941,99.17366356830661,7.164115013129067,28547.08628883166,1294.8453735413518
USA,1991,11076.0477903049,7438.69248236068,10564.6325536655,179.984725301412,1101.8452341795314,91.57030445785996,104.27292330467849,7.148993288972084,29259.35755163249,1304.837455231042
USA,1992,11145.8460616623,7927.06825687057,11079.0069129655,176.20563889786,1108.7887662141657,97.58221024207673,109.34979823096948,6.998887977023,30328.126870396227,1322.719662664235
USA,1993,11018.411436194,7901.16946252053,11383.8213481063,172.811592791501,1096.1115696725792,97.26339608362773,112.35831670580917,6.864076465678419,30476.21383961233,1312.5973589276944
USA,1994,11527.9668244242,8087.10808232802,11681.8318896055,157.084882774809,1146.8021396937195,99.55230049345792,115.2996807504063,6.239411543815414,31453.991679132527,1367.893532481399
USA,1995,11726.1905545908,8059.43891485245,11768.0145423982,156.897147518393,1166.5214363706928,99.21169304183366,116.15030353347022,6.23195469943057,31710.541159359844,1388.1153876454273
USA,1996,11902.5660750887,7618.09301397157,12138.5999494072,151.265489856302,1184.0672731498241,93.77872500199004,119.80798150064905,6.008265257092316,31810.52452832377,1403.6622449095555
USA,1997,11767.6766156807,7629.8864296169,12365.8499970344,150.775967093649,1170.648469727916,93.92390194858406,122.05093947072952,5.988821412959738,31914.189009425652,1392.6121325601894
USA,1998,12051.7872560632,8304.83267885713,12618.9548404995,163.104765727427,1198.9117962331673,102.23249027673127,124.54908427573005,6.478521294693401,33138.679541147256,1432.171892080322
USA,1999,12324.701862662,8597.40010544312,13547.4595261143,162.406540818372,1226.0613412976159,105.8339952980048,133.71342552274814,6.4507878013057365,34631.9680350378,1472.0595499196745
USA,2000,12502.5628999383,8456.33271060863,13838.2125810625,160.538337181464,1243.7549572858622,104.09745566759226,136.58315817508688,6.3765827528477494,34957.646528790894,1490.8121538813891
USA,2001,12351.2093786966,8387.84018128385,13981.0943475347,166.772387827381,1228.698308992738,103.2543126316042,137.9934012101675,6.624199244503574,34886.91629534253,1476.5702220790133
USA,2002,12737.9322606445,8684.94353696419,14775.789124866,172.787988632962,1267.1695012889152,106.91165494002918,145.8370386624274,6.86313890850125,36371.452911107655,1526.781333799873
USA,2003,12338.9065782139,8815.57829488166,15028.2694848736,166.534680616161,1227.474426400719,108.51976880999322,148.3290198157024,6.614757514073916,36349.28903858532,1490.9379725404885
USA,2004,12667.4892818091,8816.30404353675,15485.1057323992,168.999317395288,1260.1618337543694,108.52870277593739,152.8379935787801,6.712652886940838,37137.898375140336,1528.2411829960274
USA,2005,12663.3615863332,8669.97497095282,15851.7115060473,161.366373149568,1259.7512106084268,106.72739189242922,156.45639256468687,6.409472341500841,37346.41443648289,1529.3444674070438
USA,2006,12833.8218016992,8640.94502474894,16081.6831111312,161.473380860194,1276.7085928330364,106.37003325465946,158.72621230686494,6.413722687766906,37717.923318439534,1548.2185610823276
USA,2007,12841.4421625777,8966.17114081429,15976.4495561421,174.677368644937,1277.4666663332296,110.37356674342391,157.68755711912254,6.938185082576897,37958.74022817903,1552.465975278353
USA,2008,12447.3180051265,8814.21751615335,16074.8792174896,155.465894558699,1238.2591951499844,108.50301762384774,158.65905787662234,6.175105331871524,37491.88063332815,1511.596375982326
USA,2009,12268.3429436647,8998.3801,15497.4554437781,153.590741471093,1220.4547560357646,110.77005903100002,152.95988523008984,6.100624251231814,36917.769228913894,1490.2853245480865
USA,2010,12032.3204091689,8656.82077657918,15990.0573434252,143.760929530713,1196.9752343041223,106.5654637596897,157.8218659796067,5.710184120959921,36822.95945870399,1467.0727481643785
USA,2011,11689.6722430451,8332.95543924214,16471.3194203364,133.757845098929,1162.8885947381266,102.57868145707074,162.57192267872026,5.3128616073294594,36627.704947722574,1433.3520604812472
USA,2012,11701.5903967405,8408.70545511789,15888.4525317116,135.839382960329,1164.0742126677449,103.51116415250122,156.81902648799348,5.395540291184267,36134.58776653032,1429.7999435994238
USA,2013,11569.1430815569,8684.03635114532,15938.8013446589,146.832207120502,1150.8983537532804,106.90048748259889,157.3159692717833,5.83217526682634,36338.81298448163,1420.9469857744891
USA,2014,11211.2845844009,8650.01688293765,16313.9226807622,158.36707480745,1115.2985904562017,106.4817078289625,161.0184168591229,6.290340211351913,36333.5912229082,1389.089055355639
USA,2015,11276.31982857,9340.83888400813,17423.4109372418,165.402300832797,1121.7682965461438,114.98572666214008,171.96906595057655,6.569779389078697,38205.971950652725,1415.2928685479392
USA,2016,11678.3550999546,9476.46316392939,17773.5846633261,165.788418042982,1161.7627653434838,116.6552615479708,175.42528062702857,6.585115964667244,39094.19134525307,1460.4284234831505
USA,2017,12046.1123551732,9541.32694997868,18064.7913111838,179.535551945449,1198.3472570926301,117.45373475423757,178.2994902413841,7.1311521232732344,39831.76616828112,1501.231634211525
USA,2018,12179.4686705473,9656.0859560659,18448.5309125663,174.118088587602,1211.6135433460454,118.86641811917123,182.08700010702938,6.915970478699551,40458.20362776711,1519.4829320509455
USA,2019,12566.3492337795,9831.50520763443,18725.1582171984,167.670963638274,1250.1004217763846,121.02582910597982,184.8173116037482,6.659890675712243,41290.6836222506,1562.6034531618247
USA,2020,12883.0881035237,9968.88394572017,18637.4099740017,165.149501132664,1281.6096045385377,122.7169613718153,183.95123644339677,6.559738184989413,41654.53152437824,1594.8375405387392
USA,2021,12966.8795204085,10023.4626542799,18792.6177148396,161.840625561792,1289.9451746902378,123.38882527418558,185.48313684546682,6.428309647314378,41944.80051508979,1605.2454464572045
USA,2022,12955.2288061995,10087.5376086063,18969.2126853915,163.603336127521,1288.7861616407263,124.17758796194357,187.2261292048141,6.498324510985134,42175.582436324825,1606.688203318469
USA,2023,13091.5597515129,10145.1996612887,19073.3232157039,164.359389580015,1302.3483640805034,124.8874078304639,188.25370013899746,6.528354954118195,42474.44201808551,1622.0178270040828
USA,2024,13215.1986065711,10214.7069131217,19216.0199797498,165.163130599524,1314.6479573816932,125.74304210052813,189.66211720013052,6.560279547413094,42811.088630042126,1636.613396229765
USA,2025,13283.7743151825,10297.4345414375,19366.315772687,166.2883072673,1321.4698688743551,126.76141920509563,191.14553667642068,6.6049715646571565,43113.8129365743,1645.9817963205287
USA,2026,13380.8929571694,10376.0072124805,19485.9207969276,167.142788851861,1331.131231379212,127.72864878563496,192.3260382656754,6.638911573195919,43409.96375542936,1657.8248300037183
USA,2027,13451.4196566205,10447.7541438,19618.2549991909,168.105034263488,1338.1472274406074,128.611853510178,193.63217684201416,6.677131960945744,43685.533833874884,1667.0683897537451
USA,2028,13503.6825433227,10521.3455374408,19766.1380870353,169.080745886095,1343.3463394097423,129.51776356589625,195.0917829190384,6.715887226595694,43960.246913684896,1674.6717731212727
VNM,1990,164.316109521484,712.404091699219,169.560112817383,2.79009996185303,16.34616657519723,8.769694368817385,1.67355831350757,0.11082277048480237,1049.0704139999389,26.900242028006986
VNM,1991,165.344094140625,690.523110253906,164.670098168945,2.34009991416931,16.448430485109377,8.500339487225583,1.625293868927487,0.09294876859080499,1022.8774024776453,26.66701260985325
VNM,1992,172.9170921875,807.690102441406,175.520089013672,2.34009991416931,17.201792330812502,9.942665161053709,1.7323832785649425,0.09294876859080499,1158.4673835567473,28.96978953902196
VNM,1993,170.800103051758,858.300087792969,168.070107324219,2.64810000190735,16.991194251588883,10.56567408073145,1.6588519592900417,0.10518253207575995,1199.8183981708532,29.320902823686136
VNM,1994,175.699105126953,945.138100488281,170.050087792969,3.22010002861023,17.478546978029286,11.63465001701074,1.678394366516604,0.12790237313639835,1294.107393436813,30.919493734693027
VNM,1995,179.945107324219,1000.68106923828,175.220101220703,4.17010007629395,17.900939276613308,12.318383962323228,1.7294223990483384,0.1656363750303957,1360.0163778594958,32.11438201301527
